,MY-상하위 5% 제거,,MY-상하위 1% 제거,,FF-Official,,,,
date,SMB-1Q,HML-1Q,SMB-100Q,HML-100Q,SMB-FF,HML-FF,,"상관계수 btw 1Q, FF",
2009-10-31,0.38606137,0.336688643,0.365185009,0.197804133,-4.34,-4.2,,,
2009-11-30,-0.213209315,0.679978446,-0.15933808,0.528853862,-2.39,-0.33,,,
2009-12-31,-0.499662937,1.096529844,-0.494964571,0.956708768,6.04,-0.17,,,
2010-01-31,0.23165998,-1.147363759,0.20584101,-0.998327772,0.4,0.43,,,
2010-02-28,-0.280783152,0.252938946,-0.264341268,0.239831185,1.19,3.22,,,
2010-03-31,-0.56871934,-0.037860764,-0.613596604,0.101364786,1.48,2.21,,,
2010-04-30,-0.369545258,-0.549692773,-0.371199552,-0.2772062,4.87,2.89,,,
2010-05-31,0.624108544,0.003852158,0.621162047,-0.052011499,0.09,-2.44,,,
2010-06-30,0.498401959,0.828189982,0.528068186,0.530909234,-1.81,-4.7,,,
2010-07-31,-0.480444268,0.279723138,-0.447582961,0.263832144,0.24,-0.3,,,
2010-08-31,0.51366335,-0.050341766,0.507090861,-0.076720321,-2.95,-1.96,,,
2010-09-30,-0.930663634,1.488005165,-0.912562951,1.305452989,3.96,-3.17,,,
2010-10-31,-0.325596998,0.529134454,-0.312179163,0.423339228,1.21,-2.49,,,
2010-11-30,-0.130406883,0.083132743,-0.096799557,0.124847272,3.77,-0.88,,,
2010-12-31,-0.664254838,-0.149878486,-0.632948176,-0.128285595,0.67,3.78,,,
2011-01-31,-0.041025567,-0.181710279,-0.057466021,-0.082233571,-2.44,0.77,,,
2011-02-28,-0.29130766,0.470887728,-0.27626357,0.395506068,1.47,1.24,,,
2011-03-31,-0.109728305,0.553347974,-0.101904969,0.402661507,2.56,-1.88,,,
2011-04-30,-0.124532358,0.440506258,-0.107388944,0.406226285,-0.32,-2.48,,,
2011-05-31,0.218223138,0.067779125,0.217192916,0.06631529,-0.65,-2,,,
2011-06-30,0.195901521,0.150621363,0.200801272,0.154174754,-0.14,-0.38,,,
2011-07-31,0.235489597,-0.259929078,0.233907548,-0.219585085,-1.29,-0.91,,,
2011-08-31,0.697353098,-0.316226837,0.652755662,-0.348060718,-3.07,-2.4,,,
2011-09-30,0.897076696,-0.506680237,0.886548251,-0.491057974,-3.33,-1.75,,,
2011-10-31,-0.93947244,1.223347584,-0.912826279,0.985114758,3.3,0.12,,,
2011-11-30,0.18602265,-0.4297721,0.188680861,-0.378062362,-0.17,-0.46,,,
2011-12-31,0.027437857,-0.644542085,0.036502697,-0.513174536,-0.6,1.61,,,
2012-01-31,-0.655578045,0.719844424,-0.60915741,0.707768797,2.06,-0.94,,,
2012-02-29,-0.233210348,0.125639115,-0.226607805,0.155385175,-1.86,0.43,,,
2012-03-31,-0.260187261,-0.117574985,-0.24174524,-0.053847036,-0.66,1.12,,,
